"property_type","size_sqft","parking","elevator","floor","price_bdt","service_charge_bdt","year_built","building_registration_type","preferred_tenant","furnished","garage_size_sqft","front_road_size_ft","common_area_size_sqft","bedrooms","bathrooms","location","country"
"Residential Apartment","2000","1","1","3","80000","8500",2010,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","4500","2","1","6 & 7","220000","17000",2012,"Residential","Foreigner","Semi-Furnished","240","12","250","4","4","Gulshan","Bangladesh"
"Commercial Space","20000","5","3","11, 12, 13, 14 & 15","2900000","300000",2023,"Commercial","Corporate Office or MNC Office","Un-Furnished","600","50","1250",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2250","1","2","7","100000","15000",2017,"Residential","Foreigner","Un-Furnished","120","24","180","3","3","Gulshan","Bangladesh"
"Residential Apartment","4300","2","2","5","220000","25000",2010,"Residential","Foreigner","Un-Furnished","240","16","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","15000","3",NA,"0 & 4","1100000",NA,1997,"Residential","Foreigner","Un-Furnished","360","24","1400","9","9","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","3200","1","2","11","448000","32000",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","50","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2000","1","2","4","80000","8000",2015,"Residential","Foreigner","Un-Furnished","120","24","180","3","3","Banani","Bangladesh"
"Residential Apartment","2300","1","2","9","130000","9500",2010,"Residential","Foreigner","Furnished","120","24","180","4","4","Banani","Bangladesh"
"Residential Apartment","2050","1","2","5","110000","12000",2023,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","2300","1","2","8","135000","10500",2022,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Commercial Space","14500","6","1",NA,"900000",NA,2005,"Residential","Corporate Office or MNC Office","Un-Furnished","720","30","1350",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2400","1","1","3 & 5","110000",NA,2023,"Residential","Foreigner","Un-Furnished","120","16","220","3","3","Banani","Bangladesh"
"Commercial Space","3600","2","1","0","260000","20000",2000,"Residential","Corporate Office or MNC Office","Un-Furnished","240","40","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2100","1","2","5","110000","7000",2012,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Gulshan","Bangladesh"
"Residential Apartment","2430","1","2","7","130000","10000",2023,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","2900","2","2","11","180000","15000",2023,"Residential","Foreigner","Un-Furnished","240","24","250","3","4","Gulshan","Bangladesh"
"Commercial Space","4888","2","3","3 ","782080","48880",2018,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","50","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","28000","38","3","9, 10, 11, 12, 13, 14 & 15","4480000","280000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","4560","50","2700",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","5000","3",NA,"Iividu&l House","450000",NA,1990,"Residential","Foreigner","Un-Furnished","360","24","450","5","5","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","13500","6","2","4 & 6","2025000","135000",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","720","60","1450",NA,NA,"Gulshan","Bangladesh"
"Commercial Space",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chanpara Bazar","Bangladesh"
"Residential Apartment","5200","2","1","2","360000",NA,2014,"Residential","Foreigner","Semi-Furnished","240","24","350","4","5","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","2230","1","1","1","557500","22300",2018,"Commercial","Foreigner","Un-Furnished","120","40","180",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2200","1","1","2","100000","8000",2008,"Residential","Foreigner","Furnished","120","24","180","3","3","Banani","Bangladesh"
"Commercial Space","6000","4","2","9","400000",NA,2022,"Residential","Foreigner","Un-Furnished","480","40","450",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2120","2","2","5","150000",NA,2022,"Residential","Foreigner","Un-Furnished","240","30","150",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2200","1","1",NA,"110000","11000",2010,"Residential","Foreigner","Furnished","120","12","220","3","3","Banani","Bangladesh"
"Commercial Space","2600","1","1","2","110000","11000",2006,"Residential","Corporate Office or MNC Office","Un-Furnished","120","30","180",NA,NA,"Banani","Bangladesh"
"Commercial Space","2400","1","2","8","210000","20000",2017,"Residential","Corporate Office or MNC Office","Un-Furnished","120","40","180",NA,NA,"Banani","Bangladesh"
"Commercial Space","2461","1","1","5","100000",NA,2016,"Residential","Foreigner","Un-Furnished","120","40","180",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","950","1",NA,"1","100000","10000",2000,"Residential","Corporate Office or MNC Office","Un-Furnished","120","40","120",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2000","1","1","2","100000","7000",2008,"Residential","Foreigner","Furnished","120","16","150","3","3","Banani","Bangladesh"
"Commercial Space","2485","1","1","5","120000","10000",2003,"Residential","Corporate Office or MNC Office","Semi-Furnished","120","30","180",NA,NA,"Banani","Bangladesh"
"Commercial Space","4200","2","2","5","420000",NA,2023,"Residential","Foreigner","Un-Furnished","240","40","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","800",NA,"1","0","80000","0",2012,"Residential","Foreigner","Un-Furnished","120","30","100",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2200","1","2","3","150000","9000",2010,"Residential","Foreigner","Furnished","120","24","180","3","3","Banani","Bangladesh"
"Commercial Space","2600","1","1","0","150000","10000",2015,"Residential","Foreigner","Un-Furnished","120","30","180",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2300","1","2","13","150000","9000",2010,"Residential","Foreigner","Furnished","120","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","2300","1","2","5","130000","0",2015,"Residential","Foreigner","Furnished","120","24","180","3","4","Gulshan","Bangladesh"
"Residential Apartment","2200","1","1","3","150000","13000",2012,"Residential","Foreigner","Furnished","120","16","180","3","3","Gulshan","Bangladesh"
"Commercial Space","5200","2","3","0 ","1560000","52000",2018,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","50","280",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","6000","3","2","6","720000","0",2016,"Commercial","Corporate Office or MNC Office","Un-Furnished","360","50","450",NA,NA,"Banani","Bangladesh"
"Commercial Space","2200","1","2","8","187000","7500",2008,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","180",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3000","1","2","9","165000","12000",2010,"Residential","Foreigner","Furnished","120","16","220","3","3","Banani","Bangladesh"
"Commercial Space","2367","1","2","11","230000","0",2008,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","180",NA,NA,"Banani","Bangladesh"
"Residential Apartment","1900","1","1","5","180000","9000",2008,"Residential","Foreigner","Furnished","120","16","120","3","3","Gulshan","Bangladesh"
"Commercial Space","3000","1","2","3","360000","0",2016,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","50","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2900","1","1","4","150000","15000",2009,"Residential","Foreigner","Semi-Furnished","120","24","150","3","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","4200","3","2","4","350000","20000",2016,"Residential","Foreigner","Un-Furnished","360","16","250","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2900","2","1","3 & 4","200000","12000",2010,"Residential","Foreigner","Semi-Furnished","240","16","220","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3700","2","2","1","250000","15000",2012,"Residential","Foreigner","Un-Furnished","240","24","250","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","1700","1","1","1","100000","9500",2010,"Residential","Corporate Office or MNC Office","Un-Furnished","120","30","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","4000","2","2","6","430000",NA,2023,"Residential","Foreigner","Furnished","240","24","250","4","4","Gulshan","Bangladesh"
"Commercial Space","2716","1","2","1 ","624680","25000",2016,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","50","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2900","1","1","12","160000","15000",2022,"Residential","Foreigner","Furnished","120","16","120","3","3","Gulshan","Bangladesh"
"Residential Apartment","1800","1","1","5","110000","9500",2010,"Residential","Foreigner","Furnished","120","16","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","1500","1","1","6","130000","6000",2008,"Residential","Foreigner","Furnished","120","16","120","1","2","Gulshan","Bangladesh"
"Commercial Space","2200","1","6","1 ","352000","13200",2009,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","50","180",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","3500",NA,NA,"1","370000","10000",2008,"Residential","Corporate Office or MNC Office","Un-Furnished",NA,"40","250",NA,NA,"Banani","Bangladesh"
"Commercial Space","6067","2","3","13","788710","60670",2018,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","50","450",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","7750","3","6","20","930000","46500",2009,"Commercial","Corporate Office or MNC Office","Un-Furnished","360","50","450",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","5400","2","2","11, 12 & 13","400000",NA,2022,"Residential","Foreigner","Un-Furnished","240","36","250","5","5","Gulshan","Bangladesh"
"Residential Apartment","2600","1","1","3, 4, 5 & 6","210000","15000",2022,"Residential","Foreigner","Un-Furnished","120","16","180","3","4","Gulshan","Bangladesh"
"Residential Apartment","2900","1","1","4 ","170000","12000",2010,"Residential","Foreigner","Furnished","120","16","250","4","4","Gulshan","Bangladesh"
"Commercial Space","3955","1","1","2","870100",NA,2022,"Commercial","Corporate Office or Restaurant","Un-Furnished","120","15","350",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","3850","1","2","3","770000","38500",2022,"Commercial","Restaurant","Un-Furnished","120","20","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2400","1","1","0","300000","20000",2000,"Residential","Corporate Office or MNC Office","Un-Furnished","120","60","180",NA,NA,"Gulshan","Bangladesh"
"Commercial Space",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chanpara Bazar","Bangladesh"
"Commercial Space","2000","1","1","0","250000","20000",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","15","150",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3200","1","4","2","220000","24000",2010,"Residential","Foreigner","Furnished","120","16","250","3","3","Gulshan","Bangladesh"
"Residential Apartment","2400","1","2","5, 8 & 9","110000","10000",2023,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","4500","3",NA,"0 & 1","400000",NA,2000,"Residential","Foreigner","Un-Furnished","360","16","350","6","6","Gulshan","Bangladesh"
"Residential Apartment","1700","1","1","2","130000","9000",2007,"Residential","Foreigner","Furnished","120","16","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","3400","2","2","2","400000","0",2023,"Residential","Foreigner","Semi-Furnished","240","24","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","3400","2","2","13","400000","0",2023,"Residential","Foreigner","Semi-Furnished","240","24","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","2300","1","2","4","135000","9500",2022,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","4000","2","2","4, 5, 6 & 7","400000",NA,2023,"Residential","Foreigner","Semi-Furnished","240","24","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","2300","1","1","3","100000","7000",2008,"Residential","Foreigner","Un-Furnished","120","24","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2450","1","2","2","100000","12000",2007,"Residential","Foreigner","Un-Furnished","120","24","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","3000","2","2","3","170000","24000",2012,"Residential","Foreigner","Semi-Furnished","240","16","250","3","5","Gulshan","Bangladesh"
"Residential Apartment","2200","2","1","4","110000","9000",2008,"Residential","Foreigner","Un-Furnished","240","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","2300","1","2","8","130000","9000",2022,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","2800","1","2","2","110000","12000",2020,"Residential","Foreigner","Un-Furnished","120","24","180","4","4","Gulshan","Bangladesh"
"Commercial Space","2145","1","3","0","536250","19305",2023,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","40","150",NA,NA,"Tejgaon","Bangladesh"
"Commercial Space","4416","2","3","0","1104000","39744",2023,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","40","250",NA,NA,"Tejgaon","Bangladesh"
"Commercial Space","3285","2","2","5","395000","49275",2018,"Commercial","Corporate Office or Small Office","Semi-Furnished","150","40","350",NA,NA,"Banani","Bangladesh"
"Commercial Space","9500","4","3","5 & 6","1235000","85500",2023,"Commercial","Corporate Office or MNC Office","Un-Furnished","480","40","550",NA,NA,"Tejgaon","Bangladesh"
"Commercial Space","3455","1","3","8","449150","31095",2023,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","40","250",NA,NA,"Tejgaon","Bangladesh"
"Residential Apartment","3000","2","1","1","100000","13000",2008,"Residential","Foreigner","Un-Furnished","240","16","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","2750","1","1","2","130000","12500",2012,"Residential","Foreigner","Furnished","120","24","180","3","3","Gulshan","Bangladesh"
"Commercial Space","24000","10","1","0, 1, 2, 3, 4 & 5","1500000",NA,2000,"Residential","Foreigner","Un-Furnished","1200","40","2100",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2200","1","2","5","135000","7500",2010,"Residential","Foreigner","Furnished","120","16","180","3","4","Gulshan","Bangladesh"
"Residential Apartment","2600","1","2","7","145000",NA,2022,"Residential","Foreigner","Un-Furnished","120","16","180","4","4","Gulshan","Bangladesh"
"Residential Apartment","3500","1","2","5","300000","25000",2022,"Residential","Foreigner","Un-Furnished","120","16","250","3","3","Gulshan","Bangladesh"
"Residential Apartment","3500","1","2","5","300000","25000",2022,"Residential","Foreigner","Un-Furnished","120","16","250","3","3","Gulshan","Bangladesh"
"Commercial Space","21000","10","1","0, 1, 2, 3, 4 & 5","1365000",NA,2000,"Residential","Foreigner","Un-Furnished","1200","30","1900",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2700","1","2","12","150000","15000",2010,"Residential","Foreigner","Un-Furnished","120","24","220","4","4","Gulshan","Bangladesh"
"Residential Apartment","2600","1","2","6","140000","12000",2016,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Gulshan","Bangladesh"
"Residential Apartment","2900","1","2","12","150000","15000",2022,"Residential","Foreigner","Un-Furnished","120","16","250","3","3","Gulshan","Bangladesh"
"Residential Apartment","2700","1","2","9","150000","15000",2010,"Residential","Foreigner","Un-Furnished","120","24","220","4","4","Gulshan","Bangladesh"
"Residential Apartment","2500","1","2","4","95000","10000",2010,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Gulshan","Bangladesh"
"Residential Apartment","1800","1","2","2","120000","13500",2020,"Residential","Foreigner","Un-Furnished","120","24","150","3","3","Banani","Bangladesh"
"Residential Apartment","2650","2","2","3","160000","20000",2022,"Residential","Foreigner","Semi-Furnished","240","16","220","3","4","Banani","Bangladesh"
"Commercial Space","2200","1","1","5","140000","12000",2012,"Residential","Foreigner","Un-Furnished","120","30","180",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3500","1","2","2","130000","14000",2005,"Residential","Foreigner","Un-Furnished","120","24","250","3","3","Gulshan","Bangladesh"
"Commercial Space","1200","1","1","0","100000","5000",2009,"Residential","Foreigner","Un-Furnished","120","30","120",NA,NA,"Banani","Bangladesh"
"Commercial Space","1500","1","1","6","95000","10000",2010,"Residential","Foreigner","Un-Furnished","120","40","120",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2000","1","2","9","90000","7500",2010,"Residential","Foreigner","Un-Furnished","120","16","150","3","3","Banani","Bangladesh"
"Residential Apartment","2700","1","2","2","130000","12000",2010,"Residential","Foreigner","Furnished","120","16","220","3","3","Gulshan","Bangladesh"
"Residential Apartment","2000","1","1","3","100000","7000",2005,"Residential","Foreigner","Furnished","120","16","180","3","3","Gulshan","Bangladesh"
"Residential Apartment","2000","1","2","4","105000","6000",2002,"Residential","Foreigner","Semi-Furnished","120","24","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2400","1","2","4","130000","12000",2010,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Banani","Bangladesh"
"Residential Apartment","2700","1","2","4","150000","15000",2022,"Residential","Foreigner","Un-Furnished","120","24","180","3","3","Banani","Bangladesh"
"Residential Apartment","2450","2","3","7","190000","15000",2015,"Residential","Foreigner","Furnished","240","24","180","3","3","Gulshan","Bangladesh"
"Commercial Space","3060","1","2","4","210000","15000",2022,"Residential","Foreigner","Un-Furnished","120","40","220",NA,NA,"Banani","Bangladesh"
"Commercial Space","2000","1","2","3","100000","15000",2010,"Residential","Foreigner","Un-Furnished","120","30","150",NA,NA,"Banani","Bangladesh"
"Commercial Space","31500","8","2",NA,"3150000","315000",2000,"Commercial","Corporate Office or MNC Office","Un-Furnished","960","30","3000",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2200","1",NA,"2","140000","4000",1990,"Residential","Foreigner","Un-Furnished","120","30","150",NA,NA,"Banani","Bangladesh"
"Commercial Space","1235","1","2","5","150000","12350",2000,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","120",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2400","1","3","8","210000","15000",2015,"Residential","Foreigner","Semi-Furnished","120","24","180","3","3","Gulshan","Bangladesh"
"Commercial Space","1300","1","1","0","600000","13000",2000,"Commercial","Foreigner","Un-Furnished","120","50","120",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2200","1","2","7","135000","7000",2010,"Residential","Foreigner","Furnished","120","16","180","3","4","Gulshan","Bangladesh"
"Commercial Space","2000","1","1","3","95000","15000",2015,"Residential","Foreigner","Un-Furnished","120","30","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2200","1","2","7","160000","10000",2010,"Residential","Foreigner","Furnished","120","24","150","3","3","Gulshan","Bangladesh"
"Commercial Space","3060","1","2","4","210000","15000",2022,"Residential","Foreigner","Un-Furnished","120","40","220",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2200","1","2","7","160000","10000",2010,"Residential","Foreigner","Furnished","120","24","150","3","3","Gulshan","Bangladesh"
"Commercial Space","60000","45","2","Iividu&l House","4500000",NA,2022,"Residential","Foreigner","Un-Furnished","5400","40","5500",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3500","3","2","5","230000","25000",2020,"Residential","Foreigner","Un-Furnished","360","24","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","1000",NA,"1","6","100000",NA,2008,"Residential","Foreigner","Furnished",NA,"24","80","1","1","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","1800","1","2","6","125000",NA,2015,"Residential","Foreigner","Furnished","120","16","120","3","3","Gulshan","Bangladesh"
"Residential Apartment","3000","1","1","2","130000","5000",2008,"Residential","Foreigner","Furnished","120","24","220","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3000","1","1","3","130000","5000",2008,"Residential","Foreigner","Furnished","120","24","220","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","1000",NA,"1","8","130000","10000",2002,"Commercial","Corporate Office or MNC Office","Un-Furnished",NA,"50","120",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3000","1","1","1","130000","5000",2008,"Residential","Foreigner","Furnished","120","24","220","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2200","1","1","3","120000","12000",2008,"Residential","Foreigner","Un-Furnished","120","16","180","3","3","Gulshan","Bangladesh"
"Commercial Space","10000","3","4","4","1600000","150000",2009,"Commercial","Corporate Office or MNC Office","Un-Furnished","360","60","950",NA,NA,"Tejgaon","Bangladesh"
"Residential Apartment","2200","1","1","2","130000","10000",2005,"Residential","Foreigner","Furnished","120","24","180","3","3","Gulshan","Bangladesh"
"Commercial Space","10000","2",NA,"Iividu&l House","900000",NA,2000,"Residential","Foreigner","Un-Furnished","240","40","950",NA,NA,"Banani","Bangladesh"
"Residential Apartment","4300","2","2","2","260000","21000",2010,"Residential","Foreigner","Furnished","240","24","350","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","4000","2","2","3","320000","20000",2017,"Residential","Foreigner","Un-Furnished","240","24","350","3","4","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","2500","2","1","5","100000","10000",2002,"Residential","Corporate Office or MNC Office","Un-Furnished","240","30","150",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2900","1","1","1","100000","10000",2008,"Residential","Foreigner","Un-Furnished","120","24","180","3","3","Gulshan","Bangladesh"
"Residential Apartment","3500","2","2","3","250000","17500",2012,"Residential","Foreigner","Semi-Furnished","240","24","250","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","2900","2","3","9","150000","8000",2016,"Residential","Corporate Office or MNC Office","Un-Furnished","240","40","180",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","4400","2","2","5","320000","35000",2023,"Residential","Foreigner","Un-Furnished","240","24","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","2000","1","1","4","160000","15000",2010,"Residential","Foreigner","Semi-Furnished","120","24","180","3","3","Gulshan","Bangladesh"
"Commercial Space","4865","2","4","10","729750","72975",2008,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","60","250",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2370","2","2","6","210000","12000",2017,"Residential","Foreigner","Furnished","240","24","250","3","3","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","4000","2","2","1","1400000","60000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","60","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2900","2","2","5","165000","15000",1995,"Residential","Corporate Office or MNC Office","Furnished","240","40","180",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2800","1","1","5","130000",NA,1980,"Residential","Corporate Office or MNC Office","Semi-Furnished","120","30","180",NA,NA,"Banani","Bangladesh"
"Commercial Space","2800","1","1","4","150000","12000",2000,"Residential","Corporate Office or MNC Office","Semi-Furnished","120","30","180",NA,NA,"Banani","Bangladesh"
"Commercial Space","6120","1","2","4","734400","61200",2000,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","40","450",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2100","1","2","9","283500","28000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","40","150",NA,NA,"Banani","Bangladesh"
"Commercial Space","3600","1","1","5","216000",NA,2002,"Residential","Corporate Office or MNC Office","Un-Furnished","120","40","220",NA,NA,"Banani","Bangladesh"
"Commercial Space","6120","1","2","11","612000","61200",2000,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","40","450",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2084","2","2","5","281340","20840",2005,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","60","180",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2950","2","2","8","170000","14500",2010,"Residential","Foreigner","Semi-Furnished","240","24","180","3","3","Gulshan","Bangladesh"
"Commercial Space","3600","1","1","4","216000",NA,2002,"Residential","Corporate Office or MNC Office","Un-Furnished","120","40","220",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2000","1","2","6","110000","9000",2010,"Residential","Foreigner","Furnished","120","24","180","3","3","Gulshan","Bangladesh"
"Commercial Space","2234","1","1","2","100000","8500",2008,"Residential","Corporate Office or MNC Office","Semi-Furnished","120","40","180",NA,NA,"Banani","Bangladesh"
"Commercial Space","25000","8","1","0, 1, 2, 3, 4, 5 & 6","1500000",NA,2002,"Residential","Foreigner","Un-Furnished","960","40","2200",NA,NA,"Banani","Bangladesh"
"Commercial Space","7400","2","2","4 & 6","1073000","111000",2020,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","60","550",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","1174","1","3","0","704400","17610",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","150",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2000","1","2","7","220000","20000",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","180",NA,NA,"Banani","Bangladesh"
"Commercial Space","2900","2","2","7","160000","10000",2020,"Residential","Corporate Office or MNC Office","Un-Furnished","240","40","180",NA,NA,"Gulshan","Bangladesh"
